Study Name	Abbreviation	Data Modalities	Diseases Included	Sample Size	Access URL	FAIR Compliance Notes	Dataset Type	Date added to catalog
The Interdisciplinary Research to Understand the Interplay of Diabetes, Cerebrovascular Disease and Alzheimer's Disease	DiCAD	[clinical, genetics, imaging, metabolomics, proteomics] Clinical assessments; Neuropsychological testing; Genomic variants; MRI; PET imaging (Amyloid and Tau); Immunoassay; Blood chemistry; Metabolomics; Proteomics	Alzheimer's Disease; Type 2 Diabetes Mellitus; Cerebrovascular Disorder	200 participants	https://www.synapse.org/#!Synapse:syn7181520	Strong FAIR compliance with comprehensive data sharing through Synapse platform, multiple standardized data modalities (clinical, genomics, imaging, immunological, metabolomics, proteomics), well-documented study protocols including longitudinal design with standardized procedures (questionnaires, neuropsychological testing, fasting phlebotomy, OGTT, brain MRI, amyloid PET, tau PET), and formal local data access procedures, though falls short of excellent rating due to access restrictions requiring registration rather than immediate open access.	Human	January 2026
The Emory Alzheimer's Disease Research Center Brain Bank Study	Emory_ADRC	[clinical, proteomics] Clinical assessments; Neuropathology; Histochemistry; Immunohistochemistry; Proteomics; Brain tissue samples	Alzheimer's Disease; Parkinson's Disease; Parkinson's Disease with Lewy Body Dementia; Amyotrophic Lateral Sclerosis; Cognitively Normal Controls	32 postmortem brain tissues	http://alzheimers.emory.edu	Good FAIR compliance. Study follows standardized NIA Best Practice Guidelines and NACC uniform data set protocols, demonstrating strong interoperability through community data standards. Local data access model with controlled access procedures indicates structured data sharing for qualified researchers. Rich multi-modal data (clinical, neuropathological, and proteomics) from postmortem brain tissues with standardized pathological assessments (CERAD, Braak, NIA-Reagan criteria). However, public metadata availability is limited and accessibility requires institutional agreements, preventing higher FAIR rating.	Biosample	January 2026
The Harvard Brain Tissue Resource Center (HBTRC) Study	HBTRC	[clinical, genomics, transcriptomics] Clinical; Genetics; Gene Expression; Neuropathology; Brain Tissue	Alzheimer's Disease; Late Onset Alzheimer's Disease; Normal Controls	529 participants (376 LOAD patients, 153 controls)	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44772	Strong FAIR compliance as part of the AMP-AD consortium with standardized data collection protocols from a well-established NIH-supported brain tissue resource center. Data are publicly accessible through GEO repository (GSE44772) with standardized metadata, though this is pre-award data with limited additional documentation. Application-based tissue access through NIH NeuroBioBank network ensures quality control and proper data use agreements.	Human	January 2026
The hiPSC Neurons and NPCs study (MSSMiPSC)	MSSMiPSC	[transcriptomics] RNA-seq; Gene Expression	No Cognitive Impairment	Not applicable	http://www.nature.com/nature/journal/v473/n7346/pdf/nature09915.pdf	Good FAIR compliance with clearly defined transcriptomics modalities and dataset identification through the MSSMiPSC study name. Access is provided via local data access and remote repository, with documented experimental protocols detailed in the referenced Nature publication. Metadata includes iPSC derivation methods, differentiation protocols, and sample types (forebrain neurons and NPCs). However, no direct data portal URL is provided, and access conditions require specification to fully meet the Accessible principle.	Biosample	January 2026
The iPSC Microglia (iPSCMicroglia) Study	iPSCMicroglia	[transcriptomics] Gene Expression; RNA Sequencing	No Cognitive Impairment	Not applicable	https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn7416962	Excellent FAIR compliance as an AMP-AD study available through the AD Knowledge Portal with Findable dataset identification, Accessible through Synapse platform with controlled access procedures, Interoperable transcriptomics data in standardized formats, and Reusable with comprehensive metadata describing iPSC-derived microglia differentiation protocols and experimental conditions across multiple cell types.	Biosample	January 2026
The Mayo Clinic Alzheimer's Disease - Cerebral Amyloid Angiopathy (MC-CAA) Study	MC-CAA	[clinical, genomics, immunological, transcriptomics] Clinical assessments; Demographic data; Neuropathological measures; Genomic variants; APOE genotyping; Gene expression; Immunoassay; ELISA biochemical measures	Alzheimer's Disease; Cerebral Amyloid Angiopathy	932 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance with data sharing through AD Knowledge Portal (discover.alzheimersdata.org), standardized multi-modal data integration across clinical, genomics, immunological, and transcriptomics domains, comprehensive metadata documentation including neuropathological staging (Braak NFT stage, CAA scoring), adherence to community data standards through M2OVE-AD consortium, and formal data access procedures enabling broad research community reusability.	Multi-study	January 2026
The Mayo Clinic Late-Onset Alzheimer's Disease Genome-Wide Association and Brain Gene Expression Study	MayoLOADGWAS	[clinical, genomics, transcriptomics] Clinical assessments; Neuropathological evaluations; Genome-wide association data; Brain gene expression data; SNP genotyping	Alzheimer's Disease; Non-Alzheimer's Disease Controls	2,099 participants (844 AD cases and 1,255 controls)	https://adknowledgeportal.synapse.org/	Excellent FAIR compliance as part of AMP-AD Knowledge Portal with mandatory data sharing through Synapse platform, comprehensive standardized metadata aligned with AD research community standards, persistent identifiers (Synapse IDs), integration with harmonized datasets, clear data use certification procedures, controlled vocabulary usage, and extensive documentation supporting data reusability across the research community.	Multi-study	January 2026
The Mayo Pilot RNAseq Study (MayoPilotRNAseq)	MayoPilotRNAseq	[transcriptomics] RNA Sequencing; Temporal Cortex Gene Expression; Brain Tissue Samples	Alzheimer's Disease; Progressive Supranuclear Palsy	192 participants	https://www.synapse.org/#!Synapse:syn5550404	Strong FAIR compliance with standardized RNA sequencing protocols, well-documented metadata through the AMP-AD consortium, controlled access procedures via Synapse platform with clear data use agreements, and integration with AD Knowledge Portal. Local data access through a recognized repository ensures Findable and Accessible principles are met, with standard transcriptomics file formats supporting Interoperability and Reusability.	Multi-study	January 2026
The Mayo RNAseq Study (Mayo Clinic RNA Sequencing Study)	MayoRNAseq	[clinical, genomics, metabolomics, proteomics, transcriptomics] Clinical assessments; Neuropathological data; Whole genome sequencing; Genotyping; Gene expression; RNA sequencing; Metabolomics; Proteomics	Alzheimer's Disease; Progressive Supranuclear Palsy; Pathological Aging; Elderly Controls	312 participants (275 cerebellum and 276 temporal cortex samples)	https://www.synapse.org/#!Synapse:syn5550404	Excellent FAIR compliance as part of the AMP-AD consortium with data available through Synapse platform and AD Knowledge Portal (adknowledgeportal.synapse.org). Study provides persistent identifiers (syn5550404), standardized data formats (FASTQ, BAM, count matrices), comprehensive neuropathological metadata with detailed Braak staging protocols, and clear data access procedures through controlled access mechanisms. Multi-omic integration (genomics, transcriptomics, proteomics, metabolomics) with well-documented protocols enhances reusability and interoperability across the Alzheimer's research community.	Human	January 2026
The MayoeGWAS Study (Mayo Clinic Expression Genome-Wide Association Study)	MayoeGWAS	[transcriptomics, genetics, clinical] Transcriptomics (Gene Expression); [genetic] Genome-Wide Association Study (GWAS)	Alzheimer's Disease; Progressive Supranuclear Palsy; Lewy Body Dementia; Corticobasal Degeneration Disorder; Frontotemporal Dementia; Multiple System Atrophy; Vascular Dementia; Controls (Non-AD Brain Pathology)	773 brain tissue samples from 2 regions (397 Cerebellum: 197 AD, 177 controls; 399 Temporal Cortex: 202 AD, 197 controls, with 85% subject overlap)	https://www.synapse.org/#!Synapse:syn2910256	Strong FAIR compliance with formal data access procedures through Synapse platform, standardized transcriptomics data collection from two brain regions (cerebellum and temporal cortex), comprehensive pathological diagnosis metadata, integration with Mayo LOAD GWAS cohort providing linkage to genetic data, and participation in AMP-AD consortium indicating adherence to community data standards; local data access requirement and need for additional documentation on persistent identifiers and licensing terms prevent excellent rating	Human	January 2026
The Mount Sinai Brain Bank (MSBB) study	MSBB	[clinical, genomics, epigenomics, proteomics, transcriptomics] Clinical; Genomics; Epigenomics; Proteomics; Transcriptomics	Alzheimer's Disease	300 brain donors	https://adknowledgeportal.org	Excellent FAIR compliance as part of AMP-AD consortium with data accessible through AD Knowledge Portal and Synapse platform (syn3159438). Features persistent identifiers, comprehensive standardized metadata including CERAD scores, Braak staging, CDR, and MMSE assessments, adherence to community neuropathology standards, versioned datasets with quality control updates (metadata version 10), standardized multi-omics file formats (BAM, VCF), and integration with broader AMP-AD data harmonization efforts.	Human	January 2026
The Perelman School of Medicine UPenn Proteomics pilot (UPennPilot) study	UPennPilot	[proteomics] Brain proteomics	No Cognitive Impairment; Frontotemporal Dementia; neuropathology	24 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance as part of the AMP-AD consortium with data sharing through the AD Knowledge Portal (alzheimersdata.org), which enforces mandatory open science policies and rapid data sharing. The study has well-documented sample provenance from the Center for Neurodegenerative Disease Research (CNDR) with standardized neuropathological assessment protocols including histochemical and immunohistochemical characterization across 18 brain regions, comprehensive metadata on disease subtypes (FTLD-U with/without granulin mutation), and integration with broader AD research data standards.	Human	January 2026
Alzheimer's Disease Metabolomics Consortium University of Pennsylvania Study	ADMC_UPenn	[clinical, metabolomics] Clinical assessments; Metabolomics; Blood biomarkers; Neuropsychological testing; CSF biomarkers	Alzheimer's Disease; Mild Cognitive Impairment; Cognitively Normal Controls	112 unique participants (127 samples)	http://discover.alzheimersdata.org/	Excellent FAIR compliance with data available through AD Knowledge Portal (discover.alzheimersdata.org), which implements mandatory open science policies and standardized metadata. Study features well-documented clinical protocols, standardized biomarker assays (Luminex for Aβ42, t-tau, p-tau), adherence to NACC Uniform Data Set standards, and comprehensive sample characterization including matched CSF/plasma/serum specimens.	Human	January 2026
The Single-cell transcriptomic analysis of Alzheimer's disease (snRNAseqPFC_BA10) Study	snRNAseqPFC_BA10	[clinical, transcriptomics] Clinical assessments; Single-nucleus RNA sequencing (snRNA-seq); Gene expression profiling; Droplet-based snRNA-seq	Alzheimer's Disease	48 participants	https://adknowledgeportal.synapse.org	Strong FAIR compliance with standardized single-cell transcriptomic data collection protocols, well-documented metadata including pathological classifications (β-amyloid burden, AD pathology status), standardized snRNA-seq formats (80,660 single-nucleus profiles), integration with established ROSMAP cohort data, and formal controlled access procedures through AD Knowledge Portal requiring data use agreements to protect participant privacy while enabling scientific reuse.	Human	January 2026
The Vascular Contributors to Prodromal Alzheimer's disease (Emory_Vascular) Study	Emory_Vascular	[clinical, imaging, metabolomics, transcriptomics, longitudinal] Clinical assessments; Blood biomarkers; Neuroimaging; Metabolomics; Gene expression	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	2,500	http://discover.alzheimersdata.org/	Excellent FAIR compliance with data accessible through AD Knowledge Portal (alzheimersdata.org), part of the M2OVE-AD initiative with standardized multi-modal data integration across clinical, imaging, metabolomics, and transcriptomics domains. Strong metadata documentation and adherence to community data standards enhance interoperability and reusability.	Human	January 2026
The single nucleus RNA sequencing analysis of TREM2-impact in Alzheimer's disease study	snRNAseqAD_TREM2	[clinical, transcriptomics] Clinical; Single nucleus RNA sequencing; Gene Expression	Alzheimer's Disease	32 participants	https://www.nature.com/articles/s41591-019-0695-9#Sec45	Strong FAIR compliance with local data access through established repository (ROSMAP cohort), comprehensive metadata documentation including TREM2 variant stratification (TREM2-CV, TREM2-R62H, controls), standardized single-nucleus RNA-seq protocols generating 66,311 profiles from prefrontal cortex, and associated peer-reviewed publication in Nature Medicine providing detailed methodology and data description, though direct open data portal access not specified.	Human	January 2026
The collaborative St. Jude Children's Research Hospital - Banner Sun Health Research Institute Alzheimer's Disease and Related Dementias Study	StJude_BannerSun	[clinical, proteomics] Clinical assessments; Proteomics; Neuropathological data	Alzheimer's Disease; Related Dementias	100 samples	https://www.cell.com/neuron/fulltext/S0896-6273(19)31058-X	Good FAIR compliance with rich multi-modal data (clinical, proteomics, and neuropathological) from established institutional repositories. The Banner Sun Health Research Institute operates a well-characterized brain and body donation program with standardized protocols. However, findability is limited due to lack of a dedicated public study portal, and accessibility likely requires formal data access applications through controlled-access repositories (dbGaP, NIAGADS) or institutional review. Metadata documentation and interoperability standards are uncertain without repository confirmation. Standard data sharing agreements and ethical approval requirements typical for human genomic and tissue data apply.	Human	January 2026
The Mayo Clinic Study of Aging (MCSA)	MCSA	[transcriptomics, clinical, genetics] Gene Expression from Blood; Genetic Data; Clinical Diagnosis; Demographics; Neurological Evaluations; APOE Genotyping	Alzheimer's Disease; Mild Cognitive Impairment; Normal Cognition; Cerebrovascular Phenotypes	530 participants	https://www.mayo.edu/research/centers-programs/alzheimers-disease-research-center/research-activities/mayo-clinic-study-aging	Good FAIR compliance. The dataset has well-documented clinical and transcriptomics data from blood samples with standardized diagnosis criteria (NINCDS-ADRDA for AD), structured demographics, and genetic measures. Data follows standard file formats and includes clear metadata for diagnosis, age, sex, and race. However, accessibility is limited with 'Local data access' requiring formal data use agreements through Mayo Clinic, which restricts the Accessible principle of FAIR. Findability is supported through AD Knowledge Portal keywords and M2OVE-AD consortium affiliation.	Human	January 2026
The Whole Genome Sequence Harmonization Study	WGS_Harmonization	[clinical, genetics] Clinical; Whole Genome Sequencing; Genomic Variants; Brain Tissue	Alzheimer's Disease	1,872 participants with WGS data	https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=WGS_Harmonization	Strong FAIR compliance with uniformly processed multi-cohort WGS data using standardized variant calling pipelines across three major AD studies (ROSMAP, MSBB, Mayo), comprehensive metadata integration through AMP-AD consortium framework, and formal data access procedures via AD Knowledge Portal, though findability could be enhanced with additional persistent identifiers beyond Synapse platform.	Multi-study	January 2026
Transcriptome-Wide Association Study in Alzheimer's Disease	TWAS	[transcriptomics, clinical, genetics] Genetics; Clinical; Transcriptomics (RNA-Seq); Genomics (SNP genotyping)	Alzheimer's Disease	790 participants	https://www.synapse.org/#!Synapse:syn22228146	Strong FAIR compliance with well-documented data provenance, multiple persistent Synapse identifiers for analysis results and raw data files, standardized transcriptomics and genomics data formats, comprehensive metadata including tissue types and processing pipelines, formal access procedures through Synapse platform with local data access controls, and clear linkage to published methods. Data interoperability enabled through integration of multiple AMP-AD cohorts (Mayo, MSBB, ROSMAP) with traceable provenance for all weight files and association statistics.	Multi-study	January 2026
The ACOM Study (Apolipoprotein E Effects in Cerebral Organoid Models)	ACOM	[transcriptomics, genetics] APOE genotyping; RNA-sequencing of iPSC-derived cerebral organoids	Alzheimer's Disease; Cognitively Unimpaired Controls	20 iPSC lines (5 Con-E3, 5 Con-E4, 5 AD-E3, 5 AD-E4)	https://fujifilmcdi.com/cirm-search/	Strong FAIR compliance with local data access via remote repository, standardized RNA-sequencing protocols for iPSC-derived organoids, well-documented APOE genotype stratification and differentiation protocols, adherence to stem cell research community standards with comprehensive references to source iPSC lines, though accessibility would be enhanced by integration with major open science platforms like AD Knowledge Portal	Biosample	January 2026
The Somatic Mutations in Brains of Alzheimer's Disease Study	SMIB-AD	[clinical, genetics, transcriptomics] Clinical; Genomic Variants; Gene Expression; Brain Tissue; Liver Tissue; neuropathology	Alzheimer's Disease; Normal Controls	17 participants	https://www.bannerhealth.com/locations/sun-city/banner-sun-health-research-institute-santa-fe	Good FAIR compliance with formal data access procedures through established biorepository infrastructure (Banner Sun Health Research Institute and Stanley Medical Research Institute), standardized neuropathological assessments including Braak staging and CERAD scoring, and multi-modal data integration across genomic variants and transcriptomic profiles, though accessibility is limited by local data access requirements and lack of open data sharing platforms.	Human	January 2026
Religious Orders Study and Memory and Aging Project - Nucleus Hashing Study	ROSMAP_nucleus_hashing	[clinical, genetics, transcriptomics] Clinical assessments; Single-nucleus RNA sequencing; Nucleus hashing; Cell-type-specific gene expression; Multiplexed genomics	Alzheimer's Disease	20 human brain samples (4 posterior cingulate cortex, 16 dorsolateral prefrontal cortex) from ROSMAP cohort	https://adknowledgeportal.synapse.org/Explore/Studies?Study=syn3219045	Strong FAIR compliance demonstrated through AD Knowledge Portal integration with controlled access via Synapse platform, standardized ROSMAP study protocols and identifiers, comprehensive metadata linking clinical-genetic-transcriptomic data, and adherence to NIH data sharing policies. Local data access requires formal application process, ensuring appropriate governance while maintaining community data standards and interoperability with broader Alzheimer's research ecosystem.	Human	January 2026
The Neurodegeneration Pseudotime (DiseasePseudotime) Study		[transcriptomics, longitudinal] RNA-Seq	Alzheimer's Disease	436 participants	https://www.nature.com/articles/s41467-020-19622-y	Strong FAIR compliance with local data access protocols and well-documented methodology through published manuscript. Study uses standardized RNA-Seq data from established cohorts (ROSMAP and MayoRNAseq) available through the AD Knowledge Portal, employing standardized data collection protocols and computational methods for disease progression modeling. Data access requires formal procedures through source repositories, with comprehensive documentation of analysis methods and biological validation.	Multi-study	January 2026
The Alzheimer's Disease Metabolomics Consortium Alzheimer's Disease Neuroimaging Initiative Nightingale Nuclear Magnetic Resonance Study	ADMC_ADNI_NightingaleNMR	[clinical, metabolomics] Clinical assessments; NMR metabolomics; Lipoprotein subclass profiling; Fatty acid composition; Amino acids; Ketone bodies; Gluconeogenesis metabolites; Blood biomarkers	Alzheimer's Disease; Mild Cognitive Impairment; Cognitively Normal Controls	1,735 participants (ADNI 1/GO/2 cohorts)	http://adni.loni.usc.edu/	Strong FAIR compliance with standardized NMR metabolomics platform providing absolute quantification of 220+ biomarkers without batch effects, comprehensive integration with ADNI's established clinical and imaging data infrastructure, well-documented metadata through Nightingale Health protocols and ADNI data dictionaries, and formal controlled access procedures through LONI requiring Data Use Agreements which ensures data quality and appropriate use while supporting secondary research and interoperability across the AD research community.	Human	January 2026
The Religious Orders Study and Memory and Aging Project Cognitive Resilience Study	ROSMAP Cognitive Resilience	[clinical, proteomcis, transcriptomics] Clinical; Proteomics; Transcriptomics	Resilience; Alzheimer's Disease, Controls	1709	https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn3219045	Excellent FAIR compliance: The ROSMAP Cognitive Resilience Study demonstrates excellent findability through the AD Knowledge Portal with comprehensive multi-modal data integration (clinical, proteomics, transcriptomics). Data accessibility is well-structured through controlled access procedures via Synapse and RADC platforms. Interoperability is strong through consortium affiliation with AMP-AD and standardized data formats. Reusability is supported by comprehensive metadata, documented protocols, and integration within the broader ROSMAP infrastructure studying cognitive resilience to Alzheimer's disease pathology.	Human	January 2026
The Global quantitative analysis of the human brain proteome in AD and PD (QuantBrainProteome_AD.PD) Study	QuantBrainProteome_AD.PD	[proteomics] Brain proteomics; Frontal cortex; Anterior cingulate cortex	Alzheimer's Disease; Parkinson's Disease	80 samples	http://discover.alzheimersdata.org/	Excellent FAIR compliance as part of the AMP-AD consortium with data sharing through the AD Knowledge Portal (discover.alzheimersdata.org), standardized proteomics data collection from specific brain regions (frontal cortex and anterior cingulate cortex), comprehensive metadata documentation, and adherence to community data standards for neurodegenerative disease research	Human	January 2026
The Alzheimer's Disease Metabolomics Consortium Alzheimer's Disease Neuroimaging Initiative Baker Heart Targeted Lipidomics (ADMC_ADNI_BakerLipidomics) Study	ADMC_ADNI_BakerLipidomics	[clinical, metabolomics] Clinical assessments; Targeted lipidomics; Mass spectrometry; Blood biomarkers	Alzheimer Disease	806 samples	https://ida.loni.usc.edu/	Strong FAIR compliance with high findability through persistent identifiers in LONI IDA repository and comprehensive metadata documentation, strong accessibility via standardized data access portal with well-documented procedures and free access following registration and data use agreement approval, good interoperability through standardized data formats and integration with ADNI clinical and imaging data using common data elements, and high reusability through clear data use agreements, detailed protocol documentation, quality control procedures, and published analytical methods from Baker Heart and Diabetes Institute targeted lipidomics platform	Human	January 2026
The Super Ager EpiMap Study (SuperAgerEpiMap)	SuperAgerEpiMap	[clinical, epigenomics, transcriptomics] Clinical assessments; Epigenomics; Transcriptomics; Neuropathological assessments	No Cognitive Impairment. controls	10 participants	https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn3159438	Excellent FAIR compliance with data available through AD Knowledge Portal (adknowledgeportal), comprehensive metadata including clinical, demographic, and neuropathological covariates, standardized assessment protocols (CERAD, CDR, MMSE), detailed methodological documentation, and integration with larger Mount Sinai cohort enabling cross-study interoperability and reusability.	Human	January 2026
The Mitochondrial DNA in Aging and AD (mtDNA_AD) Study	mtDNA_AD	[clinical, genetics] Clinical; Whole Genome Sequencing; Mitochondrial DNA Analysis	Alzheimer's Disease; Aging	1,361 brain tissue samples	http://discover.alzheimersdata.org/	Excellent FAIR compliance. Data shared through AD Knowledge Portal (discover.alzheimersdata.org), part of AMP-AD consortium with mandatory open science policies. Integrates standardized data from three major studies (ROSMAP, Mayo, MSBB) with comprehensive metadata schemas. Provides detailed biospecimen and assay metadata, references published datasets, and follows community data standards for Alzheimer's research. Multi-platform accessibility through AD Knowledge Portal enhances findability and reusability.	Multi-study	January 2026
The Multiomic Studies of Alzheimer's Disease in Adults with Down Syndrome (omicsADDS) Study	omicsADDS	[clinical, genetics, metabolomics] Clinical; Genomics; Immunological; Metabolomics	Alzheimer's Disease; Down Syndrome	472 participants	https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn52966892	Excellent FAIR compliance as data is shared through the AD Knowledge Portal (Synapse platform), which enforces standardized metadata schemas, provides comprehensive data documentation, and enables rapid access through formal request procedures. The multiomics integration (genomics, metabolomics, proteomics, immunological) follows community standards with well-documented clinical phenotyping and structured datasets that support interoperability and reusability across the Alzheimer's research community.	Human	January 2026
The Religious Orders Study and Memory and Aging Project iPSC-Derived Induced Neurons Study	ROSMAP-IN	[clinical, proteomics, transcriptomics, genetics] Clinical assessments; TMT proteomics; Whole transcriptome RNA sequencing; Gene expression; iPSC-derived induced neurons	Alzheimer's Disease	12 lines, multiple iPSC lines derived from ROSMAP cohort participants across spectrum of AD pathologies	https://doi.org/10.1016/j.neuron.2021.08.003	Strong FAIR compliance with detailed methodological documentation, standardized TMT proteomics and transcriptomics protocols, integration with parent ROSMAP clinical and neuropathological data, and comprehensive metadata schemas. Local data access via remote repository indicates controlled access procedures with quality control measures and reproducible processing pipelines documented in published protocol.	Biosample	January 2026
The Targeted Bisulfite-Seq on 150 Randomly Selected Religious Orders Study and Memory and Aging Project Samples	ROSMAP_bsSeq	[clinical, genetics, epigenomics] Clinical assessments; Targeted bisulfite sequencing; DNA methylation profiling; Neuropathological data	Alzheimer's Disease; Dementia; Cognitive decline	150 participants	https://adknowledgeportal.synapse.org/	Excellent FAIR compliance - The ROSMAP_bsSeq dataset is part of the AMP-AD consortium and accessible through the AD Knowledge Portal, demonstrating mandatory open science policies with findability through persistent Synapse identifiers and rich metadata indexed in the AD Knowledge Portal; accessibility through standardized controlled access protocols with clear data use agreements; interoperability using standard genomic formats (FASTQ, BAM, BED) and controlled vocabularies; and reusability with detailed provenance documentation, defined usage licenses, and adherence to NIH data sharing policies and AMP-AD consortium community standards.	Human	January 2026
The Virus Resilience Lymphoblastoid Cell Line (VirusResilience_LCL) Study	VirusResilience_LCL	[clinical, transcriptomics] Clinical; Transcriptomics; RNA-seq	Alzheimer's Disease	60 cell lines from donor participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance as data is accessible through the AD Knowledge Portal (alzheimersdata.org), part of the AMP-AD consortium with mandatory open science policies and standardized metadata schemas. The study provides RNA-seq data with comprehensive documentation including detailed sample selection criteria, processing protocols, and mitochondrial variant information. Data sharing through the AD Knowledge Portal ensures findability via persistent identifiers, accessibility through the AMP-AD infrastructure, interoperability through standardized transcriptomic formats, and reusability with complete methodological documentation.	Biosample	January 2026
The Fresh Microglia Regulome (FreshMicro) Study	FreshMicro	[clinical, genetics, transcriptomics, epigenomics] Clinical; Genomic Variants; Gene Expression; Epigenetics	Alzheimer's Disease	120 samples	https://www.radc.rush.edu/docs/var/variables.htm	Strong FAIR compliance with well-documented standardized data collection protocols across multiple institutions (RADC, NBTR, Living Brain Project), comprehensive methodological documentation including sample processing and cell isolation procedures, standardized brain tissue storage and handling protocols, and formal data access procedures through established research cohorts (ROS/MAP), though limited to local data access rather than open data platforms.	Multi-study	January 2026
Brain Viral Profiling in the Mayo Clinic Brain Bank, Mount Sinai Brain Bank, and Religious Orders Study and Memory and Aging Project Cohorts	VirusResilience_Mayo.MSBB.ROSMAP	[clinical, genetics, transcriptomics] Clinical assessments; Brain tissue; Genomic variants; Mitochondrial variants; Whole genome sequencing; RNA sequencing	Alzheimer Disease	1709 samples	https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn3219045	Excellent FAIR compliance as part of the AMP-AD Knowledge Portal with structured metadata, persistent Synapse identifiers, standardized data formats (VCF, metrics files), well-documented access procedures through controlled access mechanisms, integration across three major cohorts (ROSMAP, MSBB, MayoRNAseq) with uniform processing pipelines, comprehensive descriptions including methodology and references, and adherence to community data standards for genomic variant calling and mitochondrial DNA profiling.	Multi-study	January 2026
The Religious Orders Study and Memory and Aging Project Lipidomics Study at Emory University	ROSMAP_Lipidomics_Emory	[clinical, metabolomics, longitudinal] Clinical assessments; Lipidomics; Mass spectrometry; Neuropathology	Alzheimer's Disease	674 plasma samples and 384 brain tissue samples	https://adknowledgeportal.org/	Excellent FAIR compliance with data hosted on AD Knowledge Portal enabling broad findability, controlled access through standardized data use agreements ensuring appropriate data sharing, comprehensive integration with other ROSMAP multi-omics datasets enhancing interoperability, and rich metadata combining lipidomics profiles with longitudinal clinical and neuropathological annotations supporting reusability within the AMP-AD consortium framework.	Multi-study	January 2026
The Religious Orders Study and Memory and Aging Project Resilience APOE4 Study	RR_APOE4	[clinical, epigenomics] Clinical assessments; Pathological measurements; CERAD scores; NIA-Reagan scores; Braak AD-staging scores; Brain specimens; DNA methylation, neuropahtology	Alzheimer's Disease	226 participants	https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn3219045	Excellent FAIR compliance - The RR_APOE4 Study demonstrates excellent findability through the AD Knowledge Portal with persistent identifiers and comprehensive study documentation, strong accessibility via controlled access through Synapse with clear data request procedures through RADC, robust interoperability through integration with ROSMAP parent cohort data and standardized AD consortium data elements, and high reusability with extensively documented clinical and phenotypic variables available through Rush University RADC Research Resource Sharing hub.	Multi-study	January 2026
The RNAseq Harmonization Study	RNAseq Harmonization	[clinical, transcriptomics] Clinical; RNA sequencing; Gene expression; Brain tissue transcriptomics	Alzheimer's Disease	1,796 participants with RNAseq data across multiple cohorts	https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn9702085	Excellent FAIR compliance as part of the AD Knowledge Portal infrastructure with standardized harmonization workflows across multiple cohorts, comprehensive metadata documentation, alignment to GRCh38 reference genome, and integration with WGS_Harmonization study demonstrating strong interoperability and data standardization practices across AMP-AD consortium studies.	Multi-study	January 2026
The Structural Variation xQTL Study (SV_xQTL)	SV_xQTL	[clinical, genetics] Clinical; Long-read whole-genome sequencing; Short-read whole-genome sequencing; Structural variant calls; eQTL; pQTL; haQTL; sQTL	Alzheimer's Disease	1,760 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance with comprehensive multi-modal genomics data shared through the AD Knowledge Portal (alzheimersdata.org), including PacBio long-read WGS, structural variant calls across multiple cohorts (ROSMAP, MSBB, MayoRNASeq), and summary xQTL results (eQTL, pQTL, haQTL, sQTL), supporting Findability through the portal's search infrastructure, Accessibility through formal data request procedures, Interoperability via standardized genomic variant formats, and Reusability through well-documented methodology and integration with established AD cohort studies.	Multi-study	January 2026
The Mayo Clinic Microglial Profiling Study (MCMPS)	MCMPS	[clinical, transcriptomics] Clinical; Brain tissue transcriptomics (bulk tissue); Bulk sorted microglia transcriptomics; Single-cell microglia transcriptomics	No Cognitive Impairment	25 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance: Dataset is accessible through the AD Knowledge Portal (discover.alzheimersdata.org), a major open science platform for Alzheimer's disease research with standardized metadata schemas, comprehensive documentation of clinical and multi-level transcriptomic data (bulk tissue, bulk sorted microglia, and single-cell), and formal data sharing procedures. Study includes detailed metadata for individuals, samples, and assays, follows HIPAA compliance, and integrates with the M2OVE-AD initiative.	Human	January 2026
